ds,yhat,yhat_lower,yhat_upper
2022-01-21,-1176.6906835754626,-3568.560703352243,1276.3152268169006
2022-01-22,-1038.4567304106345,-3602.3398121551195,1311.6026088552223
2022-01-23,-801.2024376258325,-3416.51372592087,1882.0372626377286
2022-01-24,-634.6901544845806,-3126.6907723181603,1701.7948733403464
2022-01-25,-626.2062691416279,-2954.7469430918914,1702.9043149985066
2022-01-26,-565.5850725751645,-3039.836214982413,1898.996276741016
2022-01-27,-335.99322489647,-2792.4302203231614,1947.7071424682215
2022-01-28,-314.04140613421384,-2648.8535567140766,2293.2646407359694
2022-01-29,-191.58606066675782,-2570.1579788412105,2280.018772850083
2022-01-30,28.13943912355353,-2574.001277558321,2297.5653905687846
2022-01-31,175.5096412389654,-2346.1923146023955,2856.033314065181
2022-02-01,163.37371839097682,-2335.4331136134497,2405.953569829275
2022-02-02,202.03351328983376,-2383.2126975138917,2845.4538094884306
2022-02-03,408.4615315875734,-2082.867863942713,2873.3794946904004
2022-02-04,406.19212960097275,-2175.2578896842333,2885.840967109819
2022-02-05,503.52279577372997,-1885.8566738771578,3005.7693024058567
2022-02-06,697.3859950271584,-1675.89201999483,3221.6847194063594
2022-02-07,818.3367967575559,-1534.4841368475538,3372.180567089428
2022-02-08,779.4219232610379,-1777.6585869644775,3188.33423786778
2022-02-09,791.159508375983,-1640.8686829687128,3275.4473747301245
2022-02-10,970.7579980136323,-1594.9438412323473,3438.0340478248795
2022-02-11,942.0072925570919,-1541.7384023257373,3406.359042949803
2022-02-12,1013.4789176143215,-1347.317858122456,3240.1511228053664
2022-02-13,1182.3956201917258,-1228.9165215074179,3786.37290710378
2022-02-14,1279.6155836407083,-1161.8808738512826,3666.4330067743563
2022-02-15,1218.4969182445175,-1173.3547830781654,3732.3663290722343
2022-02-16,1209.8717859491514,-1172.5823521881478,3640.6417862760695
2022-02-17,1371.2587076455002,-961.5696531892328,3870.7730083913166
2022-02-18,1326.7463153468566,-1102.8155269910103,3691.146374979941
2022-02-19,1385.185539736974,-1018.7220276415853,3963.5543798117724
2022-02-20,1544.050869992421,-816.9465249505415,3922.1339002857076
2022-02-21,1634.4161478509084,-854.0051672806997,4158.585799576402
2022-02-22,1569.8108417294957,-873.6261323056019,3850.813768694864
2022-02-23,1561.1864593144487,-903.2774018932217,4079.3821405759245
2022-02-24,1727.727886415167,-647.2954723765723,4112.373620154517
2022-02-25,1691.9135124709042,-632.9273429235132,3993.1866594719095
2022-02-26,1762.5207904622782,-547.4932205501442,4185.596833962127
2022-02-27,1936.878722615467,-541.7321180983616,4364.617554089065
2022-02-28,2045.8426278581253,-540.8411698645436,4299.262568393734
2022-03-01,2002.6513507045051,-329.1403322396557,4362.069847609408
2022-03-02,2017.8966668604837,-343.5854741208513,4332.547169791355
2022-03-03,2208.733770341189,-139.8602111489657,4649.044380562506
2022-03-04,2198.7663661500524,-377.6346586072375,4664.391979015949
2022-03-05,2296.243533623333,-365.9703480908662,4975.351155037022
2022-03-06,2497.9290750259233,-55.07899504707483,4820.439071584665
2022-03-07,2634.0887849355954,267.84149590258994,5031.646832937538
2022-03-08,2617.3614517579913,130.12629349214887,5160.8280241859065
2022-03-09,2657.74300666345,245.23612893860698,5051.539535784004
2022-03-10,2871.8123202414044,397.0162114380187,5242.102080680036
2022-03-11,2882.6317521520646,662.7878973408388,5304.540993917879
2022-03-12,2997.9591775101867,545.7776243721511,5344.763043627843
2022-03-13,3214.1317533331085,901.9289617627533,5655.8334229032625
2022-03-14,3361.066412958542,959.9652661243017,5888.986015301009
